部件	WS2024编号	频率	用例
⿱亠䜌	00100	1	𬽠
⿱人夕	00108	1	𩂙
⿱几口	00249	22	㔯㫟䛇沿穨船鉛铅𠙂𠝪𤻢𥂟𥳨𦏂𪣈𪮥𬓼𬜕𬼔𭆔𰈧𲍀
㇯𠚡舀	00252	2	𠚡𧀍
⿱一㕣	00379	1	𦸧
⿱吅冂	00389	4	𠿧𡃬𥫀𬴳
⿴囗㕣	00821	3	㴅𪆌𬃺
⿱土八	00827	261	㓐㖫㙯㛬㥄㰊㱥䈊䉄䔖䕭䗀䞇䡜䬋䮚倰凌勎勢囈坴埶堎夌婈崚庱掕摰暬棱槷槸淕淩熱燅爇睖睦碐祾稑稜綾绫菱蓤蓺蔆薐藝裬褹褻襼讛踛踜輘逵錂錴陵陸驇鯥鯪鲮鵱鼀龳鿛𠑢𠡭𠦻𠪑𠵕𠻱𠾁𡂞𡍬𡎐𡏜𡏹𡐑𡕮𡠦𡡷𡢂𡤦𡫑𡹃𡺿𡻴𡼹𢁋𢄢𢅮𢌻𢑫𢔁𢟯𢤢𢩑𢯅𢳊𢴸𢸧𢸱𢺐𢻝𣁞𣇾𣍚𣎞𣔭𣞕𣡊𣣋𣤶𣥻𣯭𣾖𤂡𤊥𤍽𤎮𤏝𤑔𤦫𤭝𤮅𤱒𤲪𤷖𤼳𥓪𥚊𥡩𥨁𥩋𥩐𥲎𥺙𦁪𦄌𦗙𦜣𦝄𦡟𦸐𦼊𦽂𦿳𧀧𧁈𧃳𧅩𧆖𧌉𧐨𧜼𧟎𧤁𧤂𧯣𧷏𧷨𧸇𧹎𧼔𨄧𨉞𨎐𨔎𨖖𨙋𨙜𨫔𨫭𨬝𨱋𨽤𨿲𩁢𩕜𩛬𩜁𩟒𩣱𩩡𩱀𩻉𪂚𪅋𪇼𪘵𪤶𪤽𪧢𪩮𪷥𪷴𪸷𪻧𪽘𫆢𫇁𫉥𫐫𫮛𫸒𫸾𫾓𬀻𬅲𬓺𬞝𬡵𬷮𭋓𭎎𭎩𭐨𭐭𭚢𭜙𭦩𭧳𭯛𭲗𮌜𮐦𮒫𮖋𮙹𮰈𰋔𰎥𰐢𰺊𱀘𱃃𱇶𱊀𱋾𱜞𱝢𱡛𱤮𱬁𱾒𲂜𲄕𲆘𲈁𲎣𲎤𲎩
⿱釆大	01000	8	奧𠢏𠨟𣗷𨤕𨤗𨤙𪙖
⿸尸土	01145	2	𧻡𫭺
⿱山土	01171	4	㞿𡊏𡹆𣂲
⿱山虫	01205	4	𢖄𨩪𫪻𭿇
㇯𫞹穴	01312	89	㢿㬋㮢䂉䒭䗔䙈䞀䫛䳧侯候喉堠帿猴瘊睺篌糇緱缑翭葔鄇鍭餱鯸𠇛𠇡𠋫𠯵𡗁𡟑𡧐𡹵𢗂𢜵𢰡𣕑𣣠𣤻𤠣𤧝𤬈𥀃𥎲𥙥𥱌𥸨𥻫𦃺𦑤𦞈𧇹𧩨𧯁𨂸𨒝𨥻𩃺𩋴𩌖𩘋𩩏𩩵𩺟𪃶𪅺𪈱𪑻𪹍𫗯𫛺𫞹𬑟𬥽𬫺𬭤𭉵𭏑𭏒𭗻𮌧𱈄𱧩𱨾𱳷𱴞
⿾𰀂	01368	86	㨗䆋䶯䶰䶱䶲偼媫櫷鬮龜龝龞𠦙𠸝𡤞𢵂𣔃𣕹𣷑𤒅𤜓𥈤𥣨𥤚𥤛𥤠𦫉𦵉𦻴𧑻𧪌𨩼𨷺𩙠𪚦𪚧𪚨𪚩𪚪𪚫𪚬𪚭𪚮𪚯𪚰𪚱𪚳𪚴𪚵𪚶𪚷𪚸𪚹𪚺𪚻𪚼𪚽𪚾𪚿𪛀𪛁𪛂𪛃𪛄𪛅𪛆𪛇𪛈𪛕𪛖𪮄𪷾𪺋𬋣𬟏𮒮𮙱𮧂𮯛𮯜𮯝𮯞𰕙𱏜𱢲
⿸廾丶	01373	10	𦭊𨌝𨬁𬻋𭚗𭽓𮫳𰅽𱪻𲇅
⿱刅木	01867	4	𫿼𬃒𬧪𮸓
⿳⺈𠔿比	02027	11	嫓𠢒𡙟𣗸𣗽𦿙𧴀𩌟𪄢𬌾𲇚
⿹⿺㇉一灬	02203	88	㥼㯊䍎䗡傿嘕墕嫣廌漹澙瀳灋焉篶舃蔫薦鄢韀韉𠏰𠢰𠦮𡋬𡦲𡦵𡫕𡯼𢋱𢌇𢖇𢚎𢡓𢢘𢳃𣄊𣩙𣻍𣿕𤆛𤉐𤉱𤎄𤡯𤢒𤢧𥣟𥤆𥴱𦆉𦇩𦉙𦺂𧂑𧞌𧞦𧟆𧲊𧲛𧽞𨓃𨖮𨰂𨷓𨷳𨻳𩌮𩎇𪢔𪴇𫋡𫬅𫼒𬉻𬋽𬰟𭊰𭐉𭔥𭮟𮣘𰐆𱐋𱝎𱝐𱫃𡃂
⿱一皿	02580	7	𢙂𤡛𥁋𧨦𱮎𱲌𱲏
⿱⺊目	02593	13	鼑𠥞𠧡𠨀𠹘𡷚𢒭𤈱𥅶𨓗𩠥𭾛𰙐
⿱𥫗宀	02852	38	䇡䈹䈼䌣䲘筞筦管箢箮簆簺鳤𤪔𤻥𥬌𥭌𥭲𥮵𥯴𥯾𥰋𥰶𥲃𥳄𥳥𥶘𥶣𨘲𪴌𬕀𬕖𬕲𭲺𮅞𮅬𮆳𮵶
⿺𠃊米	02924	20	䛧断簖継继𥇆𥺇𥽠𨡅𪲛𪶈𫏞𬖜𭁜𭊜𮇊𰄽𰪨𱼗𲁵
㇯書日	03132	80	㗲㦎㩇㶳䐸劃圕嫿晝書澅畫畵繣𠞷𡳩𢄶𢅺𢆅𢟸𢶝𣃂𣍚𣍜𣛛𣻱𤁿𤄼𤌲𤧎𤱪𤲿𤾭𤾳𥁞𥂛𥊮𥒠𥱂𦘕𦘘𦘙𦘚𦘜𦘠𦘢𦘣𦘧𦘨𦥌𦧶𦶕𦹓𧃤𧗊𧗚𧶁𧺅𨃲𨐶𨕨𨶬𩻽𪳛𫫒𬁫𬚪𬠨𬣄𬮑𭓙𭨡𮉂𮌃𮓎𰗂𰙨𱩀𱱅𱴵
㇯轩干	03779	207	䢀䢁䢂匦啭堑崭惭斩暂椠毂渐皲轧轨轩轪轫转轭轮软轱轲轳轴轵轶轷轸轹轺轻轼轾轿辀辁辂较辄辅辆辊辋辌辍辎辏辐辑辒输辕辖辗辘辙辚郓錾𥇢𨐅𨐆𨐇𨐈𨐉𨐊𪨩𪮃𫆏𫎸𫏐𫏕𫐄𫐅𫐆𫐇𫐈𫐉𫐌𫐍𫐎𫐏𫐐𫐑𫐒𫐓𫐔𫐕𫐖𫐗𫐘𫐙𫗚𫟤𫟥𫟦𫢪𫪚𬆂𬊗𬒄𬕛𬞋𬨁𬨂𬨃𬨄𬨅𬨇𬨈𬨉𬨌𬨍𬨎𬨏𬨐𬨑𬨒𬨓𬨔𬨕𬰣𬱢𬲕𮝳𮝴𮝵𮝶𮝷𮝸𮝹𮝺𮳗𮷖𮷗𮷘𮷙𮷜𮷝𰊢𰌆𰑧𰓼𰔶𰡔𰪏𰱑𰳂𰹯𰹰𰹱𰹳𰹴𰹵𰹶𰹷𰹸𰹹𰹺𰹻𰹼𰹽𰹿𰺀𰺁𰺂𰺃𰺄𰺆𰺇𰺈𰺉𰺊𰺋𰺌𰺍𰺎𰺏𰺐𰺑𰺒𰺓𰺔𰺕𰺖𰺗𰺙𰺚𰺛𰺜𰺝𰺞𰺠𰺡𰺢𰺣𰺤𰼻𰾌𱉱𱦈𲅀𲅁𲅂
㇯馬灬	04237	22	慿𠌩𠗦𠙖𠙥𡭳𢴶𣚝𣻴𤟨𦋱𩡧𫠉𫫆𭱃𮕹𮙢𮩴𮩵𮩸𱫫𲋻
㇯马一	04263	0	
